stock,open,high,low,close,timestamp
株G,90.58,103.68,74.88,85.03,12:00:57.50
株X,154.81,222.27,59.79,116.16,12:00:58.00
株A,339.44,382.28,131.01,379.84,12:00:58.50
株T,212.06,264.84,93.54,126.91,12:00:59.00
株I,142.67,231.94,133.66,137.62,12:00:59.50
株I,137.62,153.28,98.04,110.70,12:01:00.00
株V,245.16,283.18,95.96,121.65,12:01:00.50
株C,103.24,189.75,58.76,150.14,12:01:01.00
株Q,284.05,370.28,267.11,290.52,12:01:01.50
株A,379.84,427.41,341.67,401.29,12:01:02.00
株E,135.21,195.72,128.04,187.77,12:01:02.50
株V,121.65,155.73,71.78,97.88,12:01:03.00
株Y,152.57,235.22,122.74,219.11,12:01:03.50
株A,401.29,425.36,112.82,252.30,12:01:04.00
株E,187.77,208.82,157.98,173.95,12:01:04.50
株Z,88.47,155.59,83.64,147.08,12:01:05.00
株X,116.16,206.89,53.42,119.47,12:01:05.50
株B,155.11,182.72,132.12,152.27,12:01:06.00
株D,262.71,352.56,75.21,159.83,12:01:06.50
株R,224.69,267.45,99.31,103.75,12:01:07.00
株E,173.95,259.54,148.58,190.32,12:01:07.50
株V,97.88,118.60,79.32,108.27,12:01:08.00
株Z,147.08,234.30,57.64,195.07,12:01:08.50
株W,234.77,264.27,179.38,191.25,12:01:09.00
株Y,219.11,288.62,145.55,193.44,12:01:09.50
株R,103.75,155.40,94.82,95.24,12:01:10.00
株E,190.32,224.22,51.76,74.40,12:01:10.50
株K,167.60,172.95,136.46,161.59,12:01:11.00
株J,467.64,488.55,265.75,455.46,12:01:11.50
株R,95.24,152.60,67.65,130.07,12:01:12.00
株P,171.58,182.71,112.45,135.34,12:01:12.50
株X,119.47,197.51,99.85,128.31,12:01:13.00
株N,402.68,480.76,253.65,476.36,12:01:13.50
株W,191.25,205.09,180.08,182.29,12:01:14.00
株O,385.39,465.98,292.54,315.02,12:01:14.50
株V,108.27,186.12,56.51,67.13,12:01:15.00
株Z,195.07,202.79,149.29,165.27,12:01:15.50
株Y,193.44,276.98,127.99,138.73,12:01:16.00
株U,249.74,263.75,125.37,128.94,12:01:16.50
株R,130.07,202.41,93.86,187.11,12:01:17.00
株M,210.06,218.21,132.79,203.56,12:01:17.50
株H,156.92,167.11,50.96,138.72,12:01:18.00
株X,128.31,210.88,58.00,100.47,12:01:18.50
株A,252.30,305.94,246.90,277.70,12:01:19.00
株S,193.73,291.15,82.85,160.53,12:01:19.50
株B,152.27,163.10,124.21,125.71,12:01:20.00
株P,135.34,191.45,88.70,156.12,12:01:20.50
株V,67.13,114.88,57.33,73.89,12:01:21.00
株I,110.70,146.78,90.62,133.27,12:01:21.50
株Y,138.73,153.86,63.99,104.53,12:01:22.00
株V,73.89,135.89,54.86,81.26,12:01:22.50
株V,81.26,177.62,79.30,98.95,12:01:23.00
株I,133.27,168.03,100.86,134.06,12:01:23.50
株A,277.70,279.65,70.96,172.74,12:01:24.00
株X,100.47,154.37,68.78,102.38,12:01:24.50
株T,126.91,187.63,52.27,108.41,12:01:25.00
株D,159.83,256.32,100.83,151.61,12:01:25.50
株Y,104.53,187.75,65.13,185.12,12:01:26.00
株U,128.94,169.19,90.08,138.34,12:01:26.50
株X,102.38,200.25,69.47,171.36,12:01:27.00
株P,156.12,199.97,154.80,164.91,12:01:27.50
株O,315.02,400.00,297.59,399.38,12:01:28.00
株P,164.91,187.32,131.54,173.23,12:01:28.50
株R,187.11,246.31,53.90,90.35,12:01:29.00
株L,150.34,231.12,101.16,134.36,12:01:29.50
株S,160.53,236.33,120.27,211.40,12:01:30.00
株F,138.33,231.11,129.48,141.30,12:01:30.50
株Y,185.12,246.22,163.51,183.18,12:01:31.00
株O,399.38,438.62,93.18,400.36,12:01:31.50
株I,134.06,226.48,55.08,99.69,12:01:32.00
株O,400.36,442.85,344.21,419.02,12:01:32.50
株Y,183.18,261.26,106.44,205.97,12:01:33.00
株U,138.34,198.96,84.76,107.07,12:01:33.50
株E,74.40,87.04,52.80,69.72,12:01:34.00
株Z,165.27,194.19,95.28,173.74,12:01:34.50
株W,182.29,190.28,88.97,186.72,12:01:35.00
株U,107.07,168.94,53.10,106.59,12:01:35.50
株H,138.72,164.20,132.33,157.03,12:01:36.00
株M,203.56,256.64,131.97,185.09,12:01:36.50
株P,173.23,232.84,124.88,136.50,12:01:37.00
株C,150.14,186.65,70.54,154.16,12:01:37.50
株N,476.36,524.98,142.62,404.97,12:01:38.00
株Y,205.97,302.56,144.19,162.56,12:01:38.50
株Q,290.52,302.93,55.20,80.98,12:01:39.00
株I,99.69,139.91,74.83,119.15,12:01:39.50
株P,136.50,179.62,95.37,156.05,12:01:40.00
株K,161.59,230.13,84.78,143.44,12:01:40.50
株B,125.71,224.47,63.92,174.32,12:01:41.00
株Q,80.98,92.35,75.82,85.40,12:01:41.50
株C,154.16,229.53,135.82,223.20,12:01:42.00
株Y,162.56,174.68,160.37,173.25,12:01:42.50
株H,157.03,215.12,85.89,105.15,12:01:43.00
株J,455.46,531.69,60.73,264.00,12:01:43.50
株K,143.44,219.75,50.06,71.57,12:01:44.00
株W,186.72,207.62,124.11,202.12,12:01:44.50
株H,105.15,118.82,79.67,117.94,12:01:45.00
株X,171.36,260.34,50.25,92.20,12:01:45.50
株F,141.30,189.25,113.95,119.74,12:01:46.00
株S,211.40,226.45,175.15,193.78,12:01:46.50
株T,108.41,129.84,51.30,113.18,12:01:47.00
株R,90.35,146.77,88.81,110.21,12:01:47.50
株E,69.72,136.83,51.01,75.35,12:01:48.00
株B,174.32,201.46,86.43,91.01,12:01:48.50
株B,91.01,132.08,56.41,58.88,12:01:49.00
株H,117.94,215.52,53.92,124.12,12:01:49.50
株W,202.12,238.59,164.65,221.39,12:01:50.00
株M,185.09,232.98,154.33,189.06,12:01:50.50
株Q,85.40,164.94,68.96,164.79,12:01:51.00
株Y,173.25,261.15,57.02,219.48,12:01:51.50
株F,119.74,152.61,53.25,92.42,12:01:52.00
株K,71.57,153.08,70.13,149.79,12:01:52.50
株I,119.15,175.79,98.05,143.84,12:01:53.00
株F,92.42,130.81,71.56,105.10,12:01:53.50
株C,223.20,226.03,56.77,97.27,12:01:54.00
株P,156.05,216.99,130.79,161.03,12:01:54.50
株R,110.21,153.27,106.58,124.88,12:01:55.00
株M,189.06,248.44,174.96,232.78,12:01:55.50
株I,143.84,199.24,136.01,166.58,12:01:56.00
株H,124.12,196.90,85.67,179.21,12:01:56.50
株I,166.58,187.06,143.25,166.58,12:01:57.00
株G,85.03,144.16,60.88,107.22,12:01:57.50
株Y,219.48,221.75,137.66,166.82,12:01:58.00
株H,179.21,221.24,149.05,177.97,12:01:58.50
株R,124.88,139.01,95.24,130.65,12:01:59.00
株D,151.61,178.83,57.46,126.18,12:01:59.50
株U,106.59,201.70,94.12,153.88,12:02:00.00
株A,172.74,199.30,136.86,178.80,12:02:00.50
株I,166.58,214.04,128.75,181.51,12:02:01.00
株F,105.10,157.69,100.13,131.67,12:02:01.50
株M,232.78,242.93,152.49,228.97,12:02:02.00
株U,153.88,225.23,51.78,61.80,12:02:02.50
株T,113.18,182.41,90.95,105.86,12:02:03.00
株P,161.03,187.52,58.99,76.00,12:02:03.50
株O,419.02,449.17,170.43,170.58,12:02:04.00
株G,107.22,179.76,106.35,141.20,12:02:04.50
株B,58.88,61.56,53.59,57.12,12:02:05.00
株F,131.67,211.79,52.09,150.27,12:02:05.50
株F,150.27,223.77,71.17,212.30,12:02:06.00
株X,92.20,93.38,78.59,82.44,12:02:06.50
株R,130.65,197.81,60.90,134.27,12:02:07.00
株R,134.27,141.26,133.96,134.95,12:02:07.50
株X,82.44,103.08,80.85,86.46,12:02:08.00
株I,181.51,218.31,166.62,205.09,12:02:08.50
株H,177.97,199.83,52.19,149.65,12:02:09.00
株M,228.97,249.15,84.27,210.06,12:02:09.50
株T,105.86,193.61,60.38,192.21,12:02:10.00
株L,134.36,195.09,77.03,192.72,12:02:10.50
株P,76.00,157.93,50.43,106.61,12:02:11.00
株F,212.30,306.54,193.38,306.48,12:02:11.50
株W,221.39,319.13,158.52,270.13,12:02:12.00
株Z,173.74,232.87,117.03,132.53,12:02:12.50
株M,210.06,266.82,99.63,175.49,12:02:13.00
株D,126.18,168.10,53.25,74.19,12:02:13.50
株L,192.72,291.10,140.52,244.80,12:02:14.00
株H,149.65,235.55,65.31,71.58,12:02:14.50
株V,98.95,159.58,90.49,147.52,12:02:15.00
株U,61.80,137.41,61.30,84.54,12:02:15.50
株N,404.97,482.84,252.14,441.50,12:02:16.00
株Q,164.79,200.03,133.87,160.02,12:02:16.50
株X,86.46,132.01,65.18,82.30,12:02:17.00
株C,97.27,100.92,66.73,92.27,12:02:17.50
株U,84.54,112.09,72.31,80.95,12:02:18.00
株H,71.58,145.65,71.47,83.47,12:02:18.50
株G,141.20,147.59,61.70,70.25,12:02:19.00
株D,74.19,85.46,62.13,71.69,12:02:19.50
株A,178.80,180.67,121.58,159.24,12:02:20.00
株J,264.00,348.11,208.18,287.54,12:02:20.50
株A,159.24,167.52,63.58,138.27,12:02:21.00
株R,134.95,211.35,120.33,190.17,12:02:21.50
株L,244.80,270.58,148.57,247.30,12:02:22.00
株X,82.30,146.18,82.21,102.09,12:02:22.50
株K,149.79,236.06,120.10,125.49,12:02:23.00
株L,247.30,317.54,152.99,206.44,12:02:23.50
株B,57.12,156.27,50.85,84.98,12:02:24.00
株P,106.61,146.86,104.21,121.83,12:02:24.50
株W,270.13,337.39,258.53,331.86,12:02:25.00
株X,102.09,194.58,82.99,193.28,12:02:25.50
株F,306.48,355.13,230.35,300.10,12:02:26.00
株R,190.17,230.17,67.61,104.58,12:02:26.50
株N,441.50,505.68,245.18,443.17,12:02:27.00
株B,84.98,176.46,55.95,157.56,12:02:27.50
株T,192.21,269.02,106.59,129.30,12:02:28.00
株S,193.78,264.74,83.25,103.38,12:02:28.50
株W,331.86,424.33,315.71,412.06,12:02:29.00
株M,175.49,194.48,136.88,185.49,12:02:29.50
株M,185.49,243.85,142.89,186.69,12:02:30.00
株D,71.69,134.67,58.28,77.95,12:02:30.50
株D,77.95,136.72,59.08,83.97,12:02:31.00
株O,170.58,240.44,158.55,233.40,12:02:31.50
株N,443.17,477.02,355.58,426.17,12:02:32.00
株E,75.35,94.03,74.39,78.12,12:02:32.50
株Z,132.53,204.47,73.21,101.42,12:02:33.00
株W,412.06,468.39,310.57,461.40,12:02:33.50
株Q,160.02,210.52,90.54,157.77,12:02:34.00
株A,138.27,162.22,118.86,136.71,12:02:34.50
株I,205.09,231.42,95.63,182.50,12:02:35.00
株U,80.95,148.17,61.88,85.12,12:02:35.50
株H,83.47,83.82,58.94,78.55,12:02:36.00
株T,129.30,197.51,125.99,177.51,12:02:36.50
株Y,166.82,174.07,116.19,124.04,12:02:37.00
株L,206.44,268.23,51.56,243.22,12:02:37.50
株J,287.54,293.18,142.75,256.52,12:02:38.00
株M,186.69,211.14,59.90,162.64,12:02:38.50
株I,182.50,251.28,52.45,162.77,12:02:39.00
株L,243.22,291.64,83.47,145.81,12:02:39.50
株A,136.71,138.25,105.15,111.83,12:02:40.00
株B,157.56,196.59,53.76,161.09,12:02:40.50
株S,103.38,137.22,98.28,125.07,12:02:41.00
株H,78.55,176.60,77.87,90.88,12:02:41.50
株B,161.09,227.10,63.40,114.66,12:02:42.00
株Z,101.42,182.64,61.57,133.21,12:02:42.50
株W,461.40,527.87,277.20,320.90,12:02:43.00
株P,121.83,164.19,58.19,77.19,12:02:43.50
株J,256.52,303.58,110.47,201.58,12:02:44.00
株E,78.12,80.68,60.27,60.28,12:02:44.50
株J,201.58,268.05,159.46,181.01,12:02:45.00
株W,320.90,327.63,168.44,230.53,12:02:45.50
株X,193.28,230.45,109.48,112.91,12:02:46.00
株X,112.91,168.85,90.46,93.28,12:02:46.50
株J,181.01,217.19,61.48,134.95,12:02:47.00
株X,93.28,121.29,72.01,84.04,12:02:47.50
株U,85.12,130.18,82.25,111.67,12:02:48.00
株Y,124.04,148.52,92.98,136.84,12:02:48.50
株D,83.97,153.60,61.46,153.56,12:02:49.00
株E,60.28,67.21,56.75,57.21,12:02:49.50
株X,84.04,98.69,54.24,75.89,12:02:50.00
株V,147.52,157.65,64.32,94.00,12:02:50.50
株Z,133.21,147.16,83.15,91.56,12:02:51.00
株O,233.40,278.85,55.23,192.95,12:02:51.50
株Q,157.77,199.15,141.20,165.31,12:02:52.00
株V,94.00,126.02,77.32,88.87,12:02:52.50
株R,104.58,157.53,65.21,102.14,12:02:53.00
株Z,91.56,110.27,55.46,105.97,12:02:53.50
株E,57.21,92.85,52.52,76.52,12:02:54.00
株Y,136.84,221.59,110.49,163.42,12:02:54.50
株X,75.89,138.97,50.89,107.41,12:02:55.00
株T,177.51,209.41,98.31,107.08,12:02:55.50
株T,107.08,190.76,61.25,73.82,12:02:56.00
株V,88.87,95.04,63.06,85.22,12:02:56.50
株P,77.19,168.77,59.61,158.38,12:02:57.00
株L,145.81,157.54,62.18,90.30,12:02:57.50
株P,158.38,213.99,98.86,140.37,12:02:58.00
株Q,165.31,170.47,150.19,167.34,12:02:58.50
株I,162.77,169.73,79.96,137.52,12:02:59.00
株P,140.37,223.17,114.17,136.62,12:02:59.50
株Z,105.97,116.66,92.43,97.58,12:03:00.00
株X,107.41,206.46,98.00,144.57,12:03:00.50
株E,76.52,148.17,62.42,121.13,12:03:01.00
株Z,97.58,176.26,96.13,106.65,12:03:01.50
株R,102.14,152.14,91.72,147.69,12:03:02.00
株H,90.88,101.71,53.35,95.42,12:03:02.50
株B,114.66,201.69,100.28,152.27,12:03:03.00
株U,111.67,149.43,98.21,135.81,12:03:03.50
株M,162.64,228.89,119.36,208.46,12:03:04.00
株G,70.25,146.40,61.97,110.79,12:03:04.50
株Q,167.34,227.97,73.21,118.95,12:03:05.00
株G,110.79,144.66,54.89,108.25,12:03:05.50
株P,136.62,177.51,75.43,162.45,12:03:06.00
株Q,118.95,129.04,89.39,95.96,12:03:06.50
株W,230.53,276.19,70.57,117.48,12:03:07.00
株B,152.27,243.94,139.52,159.46,12:03:07.50
株R,147.69,186.24,102.55,173.82,12:03:08.00
株I,137.52,221.16,74.76,121.56,12:03:08.50
株D,153.56,156.32,60.75,122.77,12:03:09.00
株N,426.17,462.94,338.47,437.37,12:03:09.50
株S,125.07,173.68,95.34,146.09,12:03:10.00
株V,85.22,145.22,54.04,130.36,12:03:10.50
株U,135.81,169.90,124.85,144.81,12:03:11.00
株J,134.95,165.65,88.86,148.01,12:03:11.50
株V,130.36,154.60,58.44,139.10,12:03:12.00
株O,192.95,233.58,107.91,148.26,12:03:12.50
株N,437.37,476.88,362.00,388.55,12:03:13.00
株F,300.10,340.62,239.69,319.49,12:03:13.50
株W,117.48,185.93,62.81,130.88,12:03:14.00
株K,125.49,196.55,88.44,92.40,12:03:14.50
株X,144.57,189.87,111.25,177.45,12:03:15.00
株U,144.81,238.15,106.23,166.71,12:03:15.50
株U,166.71,184.37,119.15,168.21,12:03:16.00
株Z,106.65,163.12,84.75,118.08,12:03:16.50
株A,111.83,166.71,99.31,137.92,12:03:17.00
株U,168.21,233.68,108.64,213.70,12:03:17.50
株Q,95.96,168.28,52.37,118.66,12:03:18.00
株Y,163.42,200.46,140.14,187.27,12:03:18.50
株E,121.13,193.10,101.73,168.63,12:03:19.00
株L,90.30,146.73,54.37,92.22,12:03:19.50
株X,177.45,202.39,126.77,141.40,12:03:20.00
株H,95.42,168.46,87.55,135.16,12:03:20.50
株K,92.40,138.32,50.89,135.65,12:03:21.00
株T,73.82,171.54,54.03,159.93,12:03:21.50
株B,159.46,194.81,76.08,165.70,12:03:22.00
株I,121.56,211.31,66.57,68.70,12:03:22.50
株P,162.45,251.81,110.18,236.11,12:03:23.00
株N,388.55,434.79,220.55,343.36,12:03:23.50
株I,68.70,71.87,58.32,69.08,12:03:24.00
株A,137.92,169.95,56.84,64.71,12:03:24.50
株A,64.71,82.80,52.66,66.23,12:03:25.00
株Z,118.08,130.75,84.41,102.13,12:03:25.50
株E,168.63,256.26,62.39,203.85,12:03:26.00
株Y,187.27,266.08,53.40,249.16,12:03:26.50
株Q,118.66,181.87,106.67,155.63,12:03:27.00
株A,66.23,140.66,60.02,105.81,12:03:27.50
株N,343.36,367.93,129.49,337.94,12:03:28.00
株G,108.25,175.45,56.58,159.82,12:03:28.50
株R,173.82,179.45,151.13,179.41,12:03:29.00
株I,69.08,92.62,55.85,61.16,12:03:29.50
株S,146.09,236.90,80.50,156.35,12:03:30.00
株Q,155.63,232.10,134.52,181.97,12:03:30.50
株Z,102.13,184.79,82.72,109.64,12:03:31.00
株D,122.77,221.91,52.72,189.55,12:03:31.50
株T,159.93,225.60,154.79,179.48,12:03:32.00
株E,203.85,225.57,164.44,189.75,12:03:32.50
株B,165.70,182.76,64.09,66.60,12:03:33.00
株L,92.22,147.09,81.17,130.71,12:03:33.50
株S,156.35,196.16,115.23,147.74,12:03:34.00
株F,319.49,326.86,273.65,290.52,12:03:34.50
株H,135.16,153.35,130.11,141.15,12:03:35.00
株J,148.01,159.00,76.11,149.35,12:03:35.50
株K,135.65,157.05,111.52,151.82,12:03:36.00
株C,92.27,182.68,90.04,136.62,12:03:36.50
株D,189.55,195.09,121.41,126.42,12:03:37.00
株U,213.70,254.86,110.18,250.64,12:03:37.50
株U,250.64,340.06,111.18,233.75,12:03:38.00
株W,130.88,134.22,50.65,109.02,12:03:38.50
株N,337.94,342.42,101.03,192.56,12:03:39.00
株V,139.10,183.25,106.40,120.09,12:03:39.50
株Z,109.64,153.99,81.54,104.03,12:03:40.00
株X,141.40,228.42,115.40,170.56,12:03:40.50
株E,189.75,254.03,182.02,239.79,12:03:41.00
株A,105.81,156.06,103.07,130.91,12:03:41.50
株K,151.82,157.85,104.72,112.65,12:03:42.00
株L,130.71,213.86,96.49,203.35,12:03:42.50
株E,239.79,288.17,117.95,205.28,12:03:43.00
株J,149.35,161.73,144.98,157.58,12:03:43.50
株P,236.11,244.96,89.96,131.63,12:03:44.00
株I,61.16,97.74,57.35,86.32,12:03:44.50
株K,112.65,159.59,112.03,122.48,12:03:45.00
株O,148.26,180.29,145.58,148.84,12:03:45.50
株Q,181.97,226.18,89.09,156.93,12:03:46.00
株D,126.42,183.77,95.73,165.34,12:03:46.50
株E,205.28,267.00,58.74,100.21,12:03:47.00
株O,148.84,218.83,144.58,179.17,12:03:47.50
株V,120.09,120.26,74.93,80.74,12:03:48.00
株W,109.02,201.60,70.74,99.73,12:03:48.50
株V,80.74,93.81,69.94,72.77,12:03:49.00
株I,86.32,178.13,83.87,136.77,12:03:49.50
株U,233.75,282.20,79.95,251.02,12:03:50.00
株E,100.21,158.21,59.45,113.56,12:03:50.50
株O,179.17,198.52,61.88,81.17,12:03:51.00
株O,81.17,179.16,63.20,104.37,12:03:51.50
株O,104.37,133.02,99.61,104.22,12:03:52.00
株S,147.74,227.11,92.93,180.58,12:03:52.50
株D,165.34,263.84,156.18,244.36,12:03:53.00
株Z,104.03,193.02,70.73,134.47,12:03:53.50
株P,131.63,211.39,117.18,190.60,12:03:54.00
株G,159.82,253.34,103.07,227.12,12:03:54.50
株V,72.77,114.72,72.22,83.64,12:03:55.00
株H,141.15,156.16,61.11,85.66,12:03:55.50
株H,85.66,154.57,71.72,140.99,12:03:56.00
株B,66.60,125.95,58.03,90.31,12:03:56.50
株E,113.56,124.32,58.02,66.90,12:03:57.00
株A,130.91,191.41,108.42,110.57,12:03:57.50
株R,179.41,246.80,91.68,201.53,12:03:58.00
株T,179.48,207.88,97.96,99.63,12:03:58.50
株F,290.52,294.52,75.25,257.71,12:03:59.00
株V,83.64,97.07,65.52,87.34,12:03:59.50
株P,190.60,214.56,59.04,168.87,12:04:00.00
株O,104.22,129.53,80.70,100.19,12:04:00.50
株H,140.99,190.46,138.64,169.07,12:04:01.00
株O,100.19,169.56,86.27,135.18,12:04:01.50
株Z,134.47,219.88,56.13,164.83,12:04:02.00
株H,169.07,257.09,164.58,240.48,12:04:02.50
株L,203.35,269.99,158.12,241.63,12:04:03.00
株F,257.71,278.06,238.07,277.08,12:04:03.50
株U,251.02,265.39,185.46,192.27,12:04:04.00
株E,66.90,84.61,60.77,62.50,12:04:04.50
株H,240.48,292.28,122.75,272.59,12:04:05.00
株B,90.31,168.63,83.43,119.89,12:04:05.50
株T,99.63,154.07,80.34,104.50,12:04:06.00
株U,192.27,280.75,167.05,174.91,12:04:06.50
株R,201.53,237.15,129.80,149.89,12:04:07.00
株H,272.59,356.24,80.44,248.82,12:04:07.50
株A,110.57,203.05,64.67,108.91,12:04:08.00
株A,108.91,175.84,86.35,88.22,12:04:08.50
株L,241.63,304.44,58.43,213.60,12:04:09.00
株J,157.58,205.75,70.54,203.38,12:04:09.50
株O,135.18,203.46,59.01,104.34,12:04:10.00
株N,192.56,283.87,184.26,261.81,12:04:10.50
株M,208.46,252.65,95.71,163.86,12:04:11.00
株Z,164.83,247.88,161.25,239.46,12:04:11.50
株K,122.48,203.93,76.38,98.62,12:04:12.00
株U,174.91,235.52,80.87,209.42,12:04:12.50
株Q,156.93,187.84,130.40,147.92,12:04:13.00
株B,119.89,181.38,81.56,146.26,12:04:13.50
株S,180.58,226.14,129.78,197.36,12:04:14.00
株M,163.86,247.14,102.58,170.15,12:04:14.50
株O,104.34,165.35,97.39,163.13,12:04:15.00
株T,104.50,170.60,50.55,151.48,12:04:15.50
株O,163.13,202.69,112.92,156.74,12:04:16.00
株G,227.12,262.98,172.17,226.17,12:04:16.50
