株ID,株名,配当金（一株あたり）,配当金支払い日,資本金,従業員数,タイプ（大・中・小）,書類（日・米・欧）
68,米国株68,257,6月30日,87424041730,1748,中,米
69,米国株69,157,4月1日,78395546329,1675,中,米
70,米国株70,60,12月12日,8357429821,516,小,米
71,欧州株71,107,7月18日,64923139220,1496,中,欧
72,欧州株72,300,8月24日,30580455461,2588,中,欧
73,欧州株73,43,9月30日,13938168149,2451,中,欧
74,欧州株74,274,6月26日,10883917458,1627,中,欧
75,欧州株75,101,12月22日,48143831119,2122,中,欧
76,欧州株76,224,1月14日,91314102195,1462,中,欧
77,欧州株77,165,9月1日,44816533966,3590,大,欧
78,欧州株78,138,1月26日,8889671562,3696,大,欧
79,欧州株79,254,9月26日,51243581786,1180,中,欧
80,欧州株80,271,7月11日,51754491717,3354,大,欧
81,欧州株81,205,4月26日,42980752678,513,小,欧
82,欧州株82,254,1月26日,82974860611,1903,中,欧
83,欧州株83,212,12月20日,63904137789,633,小,欧
84,欧州株84,189,2月6日,76453269601,1611,中,欧
85,欧州株85,43,9月1日,32902545258,385,小,欧
86,欧州株86,57,10月17日,71455469087,2566,中,欧
87,欧州株87,145,8月7日,15499059374,1857,中,欧
88,欧州株88,108,12月30日,3736369704,2691,中,欧
89,欧州株89,231,9月7日,93636191993,2854,中,欧
90,欧州株90,172,12月13日,47102796128,1843,中,欧
91,欧州株91,151,2月12日,13504813479,3813,大,欧
92,欧州株92,152,10月4日,53601500709,294,小,欧
93,欧州株93,278,7月20日,16483412633,2353,中,欧
94,欧州株94,23,11月15日,22766745886,4464,大,欧
95,欧州株95,267,2月3日,71968892912,3541,大,欧
96,欧州株96,224,4月28日,68533979932,4698,大,欧
97,欧州株97,285,11月24日,56275091935,709,小,欧
98,欧州株98,275,7月23日,65913159618,4337,大,欧
99,欧州株99,289,2月14日,51277292910,1485,中,欧
100,欧州株100,93,8月24日,95346710834,3493,大,欧
101,日本株101,260,5月8日,85841244157,1803,中,日
102,日本株102,36,6月25日,82881028174,1855,中,日
103,日本株103,140,9月30日,80149238123,846,小,日
104,日本株104,158,6月13日,65835830566,2814,中,日
105,日本株105,100,7月31日,35716375163,1929,中,日
106,日本株106,219,11月18日,24399413760,1468,中,日
107,日本株107,119,10月4日,2588568220,3467,大,日
108,日本株108,208,11月21日,5061164033,2996,中,日
109,日本株109,166,11月5日,48355802266,4977,大,日
110,日本株110,233,12月24日,38354138752,2800,中,日
111,日本株111,216,11月21日,54907191919,3453,大,日
112,日本株112,122,12月3日,31134942880,486,小,日
113,日本株113,34,6月11日,37575364286,2507,中,日
114,日本株114,283,2月24日,65627238855,3657,大,日
115,日本株115,269,4月21日,64995904117,1509,中,日
116,日本株116,81,3月4日,43466414679,2700,中,日
117,日本株117,254,10月28日,3280223688,3303,大,日
118,日本株118,41,1月17日,26062927305,3782,大,日
119,日本株119,199,4月12日,61833806881,4890,大,日
120,日本株120,228,6月1日,42351842587,3119,大,日
121,日本株121,53,10月18日,42495555664,4848,大,日
122,日本株122,139,3月22日,58237731890,4515,大,日
123,日本株123,78,5月10日,29023151535,4655,大,日
124,日本株124,196,4月15日,94670467776,356,小,日
125,日本株125,231,5月22日,70862388121,136,小,日
126,日本株126,143,5月8日,820882591,4814,大,日
127,日本株127,256,4月1日,3071631977,344,小,日
128,日本株128,92,9月5日,55700744535,964,小,日
129,日本株129,60,7月27日,25581289132,3077,大,日
130,日本株130,99,11月18日,83056216896,102,小,日
131,日本株131,150,5月18日,15056961096,2785,中,日
132,日本株132,60,1月28日,41691458341,1575,中,日
133,日本株133,176,3月19日,84570496040,2118,中,日
134,日本株134,149,8月14日,24861235487,3963,大,日
135,日本株135,80,1月7日,38059554224,2155,中,日
136,日本株136,19,10月11日,17928669640,3656,大,日
137,日本株137,212,1月31日,74492290110,2445,中,日
138,日本株138,179,3月18日,3883002481,4088,大,日
139,日本株139,266,3月3日,82925758535,259,小,日
140,日本株140,197,4月9日,55402647574,4296,大,日
141,日本株141,60,1月3日,35522566869,4914,大,日
142,日本株142,293,5月14日,14539493798,4714,大,日
143,日本株143,47,9月13日,18405712500,4056,大,日
144,日本株144,247,3月5日,97197666165,1899,中,日
145,日本株145,292,8月7日,74737898846,589,小,日
146,日本株146,118,7月18日,90193443557,1573,中,日
147,日本株147,172,7月5日,4683057821,650,小,日
148,日本株148,28,11月3日,73434877464,1269,中,日
149,日本株149,115,7月30日,6922704921,211,小,日
150,日本株150,73,2月21日,29726537438,2560,中,日
151,日本株151,120,7月16日,15377302245,4204,大,日
152,日本株152,214,3月11日,85283675968,3009,大,日
153,日本株153,139,4月26日,13252410642,4523,大,日
154,日本株154,222,2月14日,37808827541,78,小,日
155,日本株155,299,5月23日,70086203256,333,小,日
156,日本株156,53,5月7日,46600585732,4171,大,日
157,日本株157,35,3月22日,99519755963,151,小,日
158,日本株158,299,8月15日,79317213127,817,小,日
159,日本株159,15,7月26日,92515533354,2803,中,日
160,日本株160,178,10月16日,69437807862,765,小,日
161,日本株161,61,5月25日,75756967261,1368,中,日
162,日本株162,129,8月16日,11502019202,1847,中,日
163,日本株163,80,11月21日,11841413381,1676,中,日
164,日本株164,281,7月25日,95224953705,3660,大,日
165,日本株165,220,1月30日,18340117963,2008,中,日
166,日本株166,152,8月25日,19161989674,2161,中,日
167,日本株167,245,12月11日,19923703484,1829,中,日
168,日本株168,161,9月21日,49943854716,4399,大,日
169,日本株169,150,2月23日,35594619523,4449,大,日
170,日本株170,294,4月12日,32540368832,4103,大,日
171,日本株171,247,12月21日,31622402579,4771,大,日
172,日本株172,247,5月22日,74666236933,4552,大,日
173,日本株173,119,2月13日,49259630196,218,小,日
174,日本株174,158,4月15日,55542961960,369,小,日
175,日本株175,70,6月3日,44548459707,1304,中,日
176,日本株176,29,3月30日,14178201914,677,小,日
177,日本株177,34,5月12日,77339829648,471,小,日
178,日本株178,162,5月31日,7298324118,1009,中,日
179,日本株179,275,6月12日,98973812008,2443,中,日
180,日本株180,186,2月6日,62178186062,830,小,日
181,日本株181,109,7月18日,32058729169,3398,大,日
182,日本株182,91,12月11日,17387034826,1248,中,日
183,日本株183,235,9月13日,12362191166,1991,中,日
184,日本株184,52,10月9日,11480054038,1295,中,日
185,日本株185,195,4月12日,85212412954,2437,中,日
186,日本株186,222,12月10日,34675362369,3169,大,日
187,日本株187,174,11月11日,22036728287,1007,中,日
188,日本株188,263,7月11日,1905843703,4142,大,日
189,日本株189,60,10月25日,43973123902,1197,中,日
190,日本株190,207,3月20日,87850175054,3309,大,日
191,日本株191,193,1月3日,66902931108,3962,大,日
192,日本株192,150,2月10日,56331197494,2965,中,日
193,日本株193,62,3月17日,19499740933,4106,大,日
194,日本株194,139,11月4日,89334454914,3920,大,日
195,日本株195,264,7月17日,27933209358,4542,大,日
196,日本株196,266,4月10日,97839583080,1106,中,日
197,日本株197,20,5月6日,68791608909,2930,中,日
198,日本株198,71,5月20日,74457249135,1438,中,日
199,日本株199,18,7月7日,14497184703,4807,大,日
200,日本株200,56,12月10日,57412051527,4959,大,日
201,日本株201,68,6月1日,81717666037,3255,大,日
202,日本株202,292,8月12日,23759117111,115,小,日
203,日本株203,148,8月20日,67671998878,2311,中,日
204,日本株204,140,10月22日,46760582568,1102,中,日
205,日本株205,98,12月6日,91670691608,2078,中,日
206,日本株206,185,1月2日,25122688450,3221,大,日
207,日本株207,156,8月22日,41639644365,2923,中,日
208,日本株208,233,11月14日,7790859327,3542,大,日
209,日本株209,214,2月4日,86833615381,2755,中,日
210,日本株210,252,6月4日,4105275387,2044,中,日
211,日本株211,167,3月8日,54279071469,895,小,日
212,日本株212,250,1月14日,47579455824,4921,大,日
213,日本株213,289,4月10日,37233873861,4412,大,日
214,日本株214,16,3月28日,63510081340,4891,大,日
215,日本株215,260,5月30日,59098611225,4182,大,日
216,日本株216,245,6月7日,79180997379,1312,中,日
217,日本株217,77,8月9日,79807024563,101,小,日
218,日本株218,39,4月6日,80628896274,2193,中,日
219,日本株219,133,10月30日,7237562903,1022,中,日
220,日本株220,97,8月30日,97222182949,3151,大,日
221,日本株221,38,12月26日,10112950615,3656,大,日
222,日本株222,155,2月12日,42354495714,4603,大,日
223,日本株223,266,1月26日,6427365185,2161,中,日
224,日本株224,180,3月24日,58930044001,3759,大,日
225,日本株225,257,1月23日,22384912739,183,小,日
226,日本株226,186,4月18日,65357090332,4527,大,日
227,日本株227,98,4月5日,28239002256,57,小,日
228,日本株228,273,12月28日,61456530148,4297,大,日
229,日本株229,251,6月24日,83796140786,4174,大,日
230,日本株230,84,8月11日,82379918239,216,小,日
231,日本株231,201,4月14日,82950986071,1650,中,日
232,日本株232,140,12月11日,62820101487,1302,中,日
233,日本株233,110,3月30日,79337057403,788,小,日
234,日本株234,45,10月14日,92181995942,454,小,日
235,日本株235,82,6月12日,22176319538,3606,大,日
236,日本株236,71,11月13日,21294180920,1162,中,日
237,日本株237,174,1月10日,91976484506,2758,中,日
238,日本株238,205,6月1日,4463958066,4135,大,日
239,日本株239,127,3月9日,45178912666,1327,中,日
240,日本株240,40,8月4日,8096653715,4463,大,日
241,日本株241,78,11月18日,41278352482,3310,大,日
242,日本株242,199,4月12日,16816753655,4909,大,日
243,日本株243,25,12月18日,64494792693,4283,大,日
244,日本株244,169,1月31日,62808637531,3286,大,日
245,日本株245,81,4月11日,51814135278,301,小,日
246,日本株246,233,1月15日,84673374895,4740,大,日
247,日本株247,68,8月9日,34410649395,4408,大,日
248,日本株248,23,4月8日,4327024607,2720,中,日
249,日本株249,12,9月1日,1116004744,3250,大,日
250,日本株250,115,6月13日,71762477715,1759,中,日
251,日本株251,10,3月20日,84275781890,1775,中,日
252,日本株252,75,1月3日,80554235906,776,小,日
253,日本株253,193,8月25日,90201528168,2951,中,日
254,日本株254,20,9月5日,17624522777,4322,大,日
255,日本株255,167,8月10日,84016541618,3287,大,日
256,日本株256,127,8月21日,26702912483,344,小,日
257,日本株257,192,10月12日,85536097274,1760,中,日
258,日本株258,141,12月12日,18988094116,3742,大,日
259,日本株259,138,10月21日,51883162858,802,小,日
260,日本株260,264,10月23日,1656264993,3239,大,日
261,日本株261,89,8月31日,71526811080,3730,大,日
262,日本株262,234,5月13日,24094265387,3020,大,日
263,日本株263,175,5月18日,48144477135,137,小,日
264,日本株264,232,11月20日,51521397489,2787,中,日
265,日本株265,271,3月18日,56936235326,4102,大,日
266,日本株266,259,5月5日,83212441315,4587,大,日
267,日本株267,291,5月15日,52964016891,3438,大,日
268,日本株268,227,5月16日,63874193078,2288,中,日
269,日本株269,31,6月8日,6524734817,2931,中,日
270,日本株270,97,3月15日,65322090483,761,小,日
271,日本株271,89,10月8日,1102968569,883,小,日
272,日本株272,80,8月8日,87258486098,1196,中,日
273,日本株273,96,10月31日,81468087327,2252,中,日
274,日本株274,30,6月18日,23796171406,2731,中,日
275,日本株275,182,9月10日,3916087721,2022,中,日
276,日本株276,123,3月14日,56132136513,1887,中,日
277,日本株277,239,10月11日,84567839484,1899,中,日
278,日本株278,76,1月4日,36435595529,3557,大,日
279,日本株279,200,11月12日,16268883310,3590,大,日
280,日本株280,238,9月13日,32821668351,2893,中,日
281,日本株281,168,3月12日,45989067531,4036,大,日
282,日本株282,290,3月26日,39535347686,3212,大,日
283,日本株283,193,4月5日,54316125764,4715,大,日
284,日本株284,241,7月26日,34185241180,4835,大,日
285,日本株285,28,12月15日,76252518399,195,小,日
286,日本株286,37,9月21日,89384089944,4002,大,日
287,日本株287,47,4月5日,56842611911,1485,中,日
288,日本株288,277,8月1日,83763739181,2137,中,日
289,日本株289,64,12月31日,11688845971,2440,中,日
290,日本株290,187,2月17日,89147153765,2014,中,日
291,日本株291,44,1月12日,41050738936,1472,中,日
292,日本株292,207,11月21日,91100167860,4818,大,日
293,日本株293,136,12月25日,35143759638,3007,大,日
294,日本株294,181,3月20日,10968790836,4151,大,日
295,日本株295,13,10月23日,44150491093,3442,大,日
296,日本株296,199,4月14日,92584449210,2627,中,日
297,日本株297,32,4月25日,36507330977,4948,大,日
298,日本株298,190,12月24日,78538780561,764,小,日
299,日本株299,51,10月7日,44940797912,4119,大,日
300,日本株300,80,11月2日,61493584443,600,小,日
301,日本株301,284,8月10日,95258041925,3772,大,日
302,日本株302,282,7月21日,91464839179,2720,中,日
303,日本株303,58,5月31日,78141186067,1017,中,日
304,日本株304,58,11月8日,74133011547,473,小,日
305,日本株305,148,3月21日,73215043804,3945,大,日
306,日本株306,77,11月15日,40766707155,4643,大,日
307,日本株307,198,7月19日,90780613170,3607,大,日
308,日本株308,109,9月13日,24008142553,2443,中,日
309,日本株309,147,2月8日,27933943324,2081,中,日
310,日本株310,264,8月24日,18299744790,4063,大,日
311,日本株311,158,10月11日,58360604385,2402,中,日
312,日本株312,283,2月4日,33970662319,4399,大,日
313,日本株313,183,11月11日,41315406777,4550,大,日
314,日本株314,232,6月5日,30571706914,2886,中,日
315,日本株315,223,1月29日,71286661513,1837,中,日
316,日本株316,290,3月18日,83835793325,3107,大,日
317,日本株317,65,4月11日,53954833881,4423,大,日
318,日本株318,251,1月15日,53001037012,1583,中,日
319,日本株319,18,9月10日,76106201270,3759,大,日
320,日本株320,58,5月6日,70638264630,2608,中,日
321,日本株321,50,7月2日,13002176344,4063,大,日
322,日本株322,115,6月8日,7719938023,1247,中,日
323,日本株323,76,9月22日,70594934242,4587,大,日
324,日本株324,99,9月1日,71235660161,403,小,日
325,日本株325,88,9月2日,91282217189,2738,中,日
326,日本株326,124,7月11日,24724718346,121,小,日
327,日本株327,183,7月14日,87883261784,1229,中,日
328,日本株328,260,9月4日,30937097629,2359,中,日
329,日本株329,193,10月14日,94381966366,1106,中,日
330,日本株330,96,11月6日,20412769593,2309,中,日
331,日本株331,154,8月11日,10322591882,2107,中,日
332,日本株332,192,10月19日,42635798213,2759,中,日
333,日本株333,96,3月14日,30252873109,3242,大,日
334,日本株334,217,1月27日,23512521750,2063,中,日
335,日本株335,146,2月6日,65031492893,249,小,日
336,日本株336,243,4月19日,50431455311,2225,中,日
337,日本株337,56,10月18日,51057482495,4367,大,日
338,日本株338,175,6月29日,73361262517,4488,大,日
339,日本株339,291,4月29日,66943371798,4075,大,日
340,日本株340,15,5月1日,67740913244,230,小,日
341,日本株341,201,6月22日,83232287080,1358,中,日
342,日本株342,141,2月20日,76174381669,1386,中,日
343,日本株343,37,11月27日,2527645536,4061,大,日
344,日本株344,95,7月2日,43404863003,1108,中,日
345,日本株345,288,8月6日,22457620547,2212,中,日
346,日本株346,37,9月21日,63263485979,2243,中,日
347,日本株347,240,6月6日,5627397693,1520,中,日
348,日本株348,87,11月24日,54061355810,1999,中,日
349,日本株349,211,2月4日,83477897306,1224,中,日
350,日本株350,153,8月5日,40015685671,3368,大,日
351,日本株351,123,4月16日,6417704512,3490,大,日
352,日本株352,238,9月5日,49094076867,4468,大,日
353,日本株353,247,2月28日,47562735578,1964,中,日
354,日本株354,143,4月10日,16252899950,3947,大,日
355,日本株355,237,1月10日,55996204003,389,小,日
356,日本株356,276,9月22日,35609916657,3516,大,日
357,日本株357,101,11月8日,25519738946,1335,中,日
358,日本株358,256,5月25日,25030511244,4963,大,日
359,日本株359,269,7月9日,63905895713,2360,中,日
360,日本株360,72,6月14日,7985315126,1635,中,日
361,日本株361,35,12月11日,11911117388,2112,中,日
362,日本株362,218,9月29日,88057211588,2732,中,日
363,日本株363,159,11月14日,42337776958,1623,中,日
364,日本株364,129,1月14日,8775623435,3605,大,日
365,日本株365,109,9月13日,51416166664,85,小,日
366,日本株366,261,3月17日,5376669520,2079,中,日
367,日本株367,251,10月29日,18574989747,4178,大,日
368,日本株368,244,1月19日,67526334383,3139,大,日
369,日本株369,202,4月13日,63768960763,3643,大,日
370,日本株370,270,11月17日,36978211075,335,小,日
371,日本株371,263,6月10日,60370006848,4079,大,日
372,日本株372,276,1月28日,43763547172,1111,中,日
373,日本株373,79,8月8日,87797138950,3270,大,日
374,日本株374,42,4月11日,91400479081,1568,中,日
375,日本株375,30,7月25日,67879033922,1735,中,日
376,日本株376,127,9月10日,77713101688,738,小,日
377,日本株377,146,5月15日,61070811397,2605,中,日
378,日本株378,77,7月2日,31202159873,1721,中,日
379,日本株379,202,7月17日,20207657620,1081,中,日
380,日本株380,63,8月25日,725694816,3178,大,日
381,日本株381,186,11月6日,2875828498,2252,中,日
382,日本株382,144,10月21日,43554953971,3924,大,日
383,日本株383,211,12月7日,16800033409,2428,中,日
384,日本株384,210,11月12日,40227658308,3080,大,日
385,日本株385,88,11月24日,25878423115,210,小,日
386,日本株386,20,5月26日,29989963277,2384,中,日
387,日本株387,269,1月27日,71222302905,570,小,日
388,日本株388,262,5月13日,56908895349,3371,大,日
389,日本株389,75,1月9日,80014059606,4688,大,日
390,日本株390,242,3月10日,43436489729,4354,大,日
391,日本株391,18,5月22日,64248601868,3576,大,日
392,日本株392,298,5月4日,65309080,4668,大,日
393,日本株393,295,10月6日,38160086448,2715,中,日
394,日本株394,134,3月15日,40274393984,4560,大,日
395,日本株395,240,3月14日,83282399212,3577,大,日
396,日本株396,56,4月23日,7504875318,4281,大,日
397,日本株397,183,3月28日,86834262887,4931,大,日
398,日本株398,223,4月9日,63276987111,4699,大,日
399,日本株399,136,4月30日,95554361337,4240,大,日
400,日本株400,243,3月4日,10995577272,222,小,日
401,日本株401,80,9月26日,47577908131,740,小,日
402,日本株402,48,6月28日,17422623602,2870,中,日
403,日本株403,67,10月27日,80870882851,4847,大,日
404,日本株404,134,4月27日,4021876234,2691,中,日
405,日本株405,36,9月18日,37499702202,1465,中,日
406,日本株406,114,2月20日,80056277770,1716,中,日
407,日本株407,133,7月30日,20096216318,3562,大,日
408,日本株408,65,12月30日,35623417790,2578,中,日
409,日本株409,288,8月30日,15456704080,3394,大,日
410,日本株410,228,1月14日,66620256095,2071,中,日
411,日本株411,165,3月1日,96323427616,3701,大,日
412,日本株412,232,2月16日,75412014286,522,小,日
413,日本株413,191,4月2日,44042017777,4172,大,日
414,日本株414,48,1月25日,29656953459,4806,大,日
415,日本株415,281,4月15日,6416658884,4508,大,日
416,日本株416,34,8月14日,13963153972,3848,大,日
417,日本株417,230,2月12日,93005910026,1676,中,日
418,日本株418,275,7月15日,72803367190,466,小,日
419,日本株419,55,6月20日,88008109512,832,小,日
420,日本株420,149,6月20日,99943867777,247,小,日
421,日本株421,297,10月18日,68669858295,214,小,日
422,日本株422,100,7月21日,95519330293,3674,大,日
423,日本株423,176,2月12日,1969750209,1187,中,日
424,日本株424,106,6月30日,85353292023,2816,中,日
425,日本株425,200,12月4日,55233836620,2156,中,日
426,日本株426,132,1月19日,96301378103,4287,大,日
427,日本株427,151,11月19日,9478777283,4922,大,日
428,日本株428,222,2月9日,64292249587,4736,大,日
429,日本株429,266,4月8日,38764380843,3961,大,日
430,日本株430,246,2月21日,95292170698,4880,大,日
431,日本株431,282,4月14日,75125456988,583,小,日
432,日本株432,224,7月7日,90366028435,2680,中,日
433,日本株433,156,9月18日,57793629355,488,小,日
434,日本株434,39,5月9日,70956120456,329,小,日
435,日本株435,107,7月29日,7023630058,1475,中,日
436,日本株436,103,9月2日,4327669133,1302,中,日
437,日本株437,274,7月17日,89968433940,2929,中,日
438,日本株438,207,1月15日,12761137557,2385,中,日
439,日本株439,139,8月9日,24470422209,1927,中,日
440,日本株440,233,12月31日,11836694716,1608,中,日
441,日本株441,235,8月31日,44114071921,4190,大,日
442,日本株442,143,2月2日,20843427661,4355,大,日
443,日本株443,280,3月14日,28348611203,3996,大,日
444,日本株444,223,8月12日,27466475565,4535,大,日
445,日本株445,192,4月24日,70187850769,4315,大,日
446,日本株446,104,1月25日,46751835511,4440,大,日
447,日本株447,136,3月4日,53070994910,4397,大,日
448,日本株448,47,5月16日,40105902668,930,小,日
449,日本株449,44,3月12日,9986445775,287,小,日
450,日本株450,281,5月4日,69754428639,69,小,日
451,日本株451,155,5月24日,92572959891,1387,中,日
452,日本株452,262,5月28日,6621125788,2154,中,日
453,日本株453,174,1月21日,54055348168,607,小,日
454,日本株454,96,6月18日,24186695154,3190,大,日
455,日本株455,85,11月20日,9837459962,1042,中,日
456,日本株456,228,7月21日,10499317761,2997,中,日
457,日本株457,28,5月31日,7288297899,1332,中,日
458,日本株458,133,3月15日,3208463638,3316,大,日
459,日本株459,200,11月11日,52410610663,3897,大,日
460,日本株460,159,1月23日,32928647859,1082,中,日
461,日本株461,286,9月22日,22220777122,3880,大,日
462,日本株462,141,12月29日,39745538638,923,小,日
463,日本株463,249,5月25日,80300601680,2908,中,日
464,日本株464,252,12月19日,59102555345,4225,大,日
465,日本株465,210,12月31日,63932680658,2689,中,日
466,日本株466,50,3月9日,13634127523,3558,大,日
467,日本株467,127,10月5日,81498250025,3714,大,日
468,日本株468,251,6月17日,20419465109,4334,大,日
469,日本株469,258,3月21日,76858740767,882,小,日
470,日本株470,277,1月3日,66570444248,2807,中,日
471,日本株471,300,4月23日,62813070628,1318,中,日
472,日本株472,287,6月9日,9767994659,4419,大,日
473,日本株473,34,11月10日,52647032358,3918,大,日
474,日本株474,52,4月20日,79496504356,2881,中,日
475,日本株475,23,8月4日,21860414581,1205,中,日
476,日本株476,125,8月5日,60158253139,2023,中,日
477,日本株477,127,10月6日,38924377679,1363,中,日
478,日本株478,86,11月21日,96943295018,1690,中,日
479,日本株479,153,12月25日,19292904165,3015,大,日
480,日本株480,149,8月1日,16883574755,2829,中,日
481,日本株481,219,10月16日,241287443,3432,大,日
482,日本株482,200,1月6日,65816943942,2519,中,日
483,日本株483,245,1月24日,99616887733,1810,中,日
484,日本株484,112,2月16日,51842933545,319,小,日
485,日本株485,228,4月4日,45107488774,4811,大,日
486,日本株486,267,3月11日,32719658571,3373,大,日
487,日本株487,285,3月10日,59318326690,4519,大,日
488,日本株488,255,5月22日,54942684211,3794,大,日
489,日本株489,228,6月1日,68110083391,1022,中,日
490,日本株490,54,7月25日,74228044157,477,小,日
491,日本株491,27,3月21日,85937328809,693,小,日
492,日本株492,121,10月13日,99140557115,4651,大,日
493,日本株493,91,8月21日,69178762716,1828,中,日
494,日本株494,31,8月11日,82310332771,2433,中,日
495,日本株495,141,10月25日,98863387427,4028,大,日
496,日本株496,187,6月27日,79474539192,1925,中,日
497,日本株497,53,12月5日,54165024832,3535,大,日
498,日本株498,176,10月12日,47393750936,4926,大,日
499,日本株499,99,3月28日,63171754797,3603,大,日
500,日本株500,76,3月19日,24083073752,4634,大,日
501,日本株501,289,12月11日,57264774009,3907,大,日
502,日本株502,234,6月9日,79281924006,3772,大,日
503,日本株503,67,2月21日,76550133955,594,小,日
504,日本株504,189,4月6日,90588299851,921,小,日
505,日本株505,128,11月24日,54697265083,926,小,日
506,日本株506,97,3月12日,71465024878,580,小,日
507,日本株507,38,9月23日,84632424058,235,小,日
508,日本株508,154,5月24日,3524358470,3483,大,日
509,日本株509,58,7月6日,6578818183,1038,中,日
510,日本株510,162,12月13日,87175636211,2536,中,日
511,日本株511,183,5月3日,99688938897,3929,大,日
512,日本株512,111,1月13日,43029406256,289,小,日
513,日本株513,23,7月26日,6197949695,3732,大,日
514,日本株514,94,11月1日,37050767217,3022,大,日
515,日本株515,176,3月27日,12338366001,4508,大,日
516,日本株516,300,12月3日,56407785414,4546,大,日
517,日本株517,136,1月23日,70410122185,3010,大,日
518,日本株518,69,4月2日,37062943416,4992,大,日
519,日本株519,220,12月28日,77123801521,4534,大,日
520,日本株520,54,7月12日,26896905146,4186,大,日
521,日本株521,16,3月11日,83336182294,2482,中,日
522,日本株522,297,5月1日,95527022849,2674,中,日
523,日本株523,103,4月20日,69290512155,1653,中,日
524,日本株524,279,2月18日,79546590357,1567,中,日
525,日本株525,52,12月4日,76075849741,567,小,日
526,日本株526,120,9月21日,85973942904,3187,大,日
527,日本株527,42,8月28日,19165643160,4660,大,日
528,日本株528,144,7月26日,94479071070,3623,大,日
529,日本株529,105,9月21日,34549927685,1244,中,日
530,日本株530,170,11月10日,3430735055,1386,中,日
531,日本株531,172,1月18日,26056977207,3370,大,日
532,日本株532,168,10月24日,46662470729,708,小,日
533,日本株533,287,9月24日,94096693109,2675,中,日
534,日本株534,112,8月3日,50223508126,3494,大,日
535,日本株535,201,1月1日,15971430473,2785,中,日
